RUN	simulations.CircuitBreakerSimulation	circuitbreakersimulation	1554985040255	 	3.0.3
USER	Circuit breaker scenario	71	END	1554985055883	1554985055900
REQUEST	68		circuit-breaker	1554985055503	1554985055916	OK	 
USER	Circuit breaker scenario	68	END	1554985055503	1554985055917
USER	Circuit breaker scenario	72	START	1554985056002	1554985056002
REQUEST	69		circuit-breaker	1554985055635	1554985056043	OK	 
USER	Circuit breaker scenario	69	END	1554985055634	1554985056044
USER	Circuit breaker scenario	73	START	1554985056133	1554985056133
REQUEST	70		circuit-breaker	1554985055756	1554985056167	OK	 
USER	Circuit breaker scenario	70	END	1554985055755	1554985056167
USER	Circuit breaker scenario	74	START	1554985056254	1554985056254
USER	Circuit breaker scenario	75	START	1554985056383	1554985056383
REQUEST	75		circuit-breaker	1554985056383	1554985056393	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	75	END	1554985056383	1554985056394
REQUEST	72		circuit-breaker	1554985056002	1554985056416	OK	 
USER	Circuit breaker scenario	72	END	1554985056002	1554985056416
USER	Circuit breaker scenario	76	START	1554985056504	1554985056504
REQUEST	73		circuit-breaker	1554985056133	1554985056540	OK	 
USER	Circuit breaker scenario	73	END	1554985056133	1554985056541
USER	Circuit breaker scenario	77	START	1554985056633	1554985056633
REQUEST	74		circuit-breaker	1554985056255	1554985056673	OK	 
USER	Circuit breaker scenario	74	END	1554985056254	1554985056674
USER	Circuit breaker scenario	78	START	1554985056754	1554985056754
USER	Circuit breaker scenario	79	START	1554985056864	1554985056864
REQUEST	79		circuit-breaker	1554985056865	1554985056873	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	79	END	1554985056864	1554985056874
REQUEST	76		circuit-breaker	1554985056504	1554985056923	OK	 
USER	Circuit breaker scenario	76	END	1554985056504	1554985056925
USER	Circuit breaker scenario	80	START	1554985056974	1554985056974
REQUEST	77		circuit-breaker	1554985056634	1554985057037	OK	 
USER	Circuit breaker scenario	77	END	1554985056633	1554985057037
USER	Circuit breaker scenario	81	START	1554985057094	1554985057094
REQUEST	78		circuit-breaker	1554985056755	1554985057166	OK	 
USER	Circuit breaker scenario	78	END	1554985056754	1554985057167
USER	Circuit breaker scenario	82	START	1554985057204	1554985057204
USER	Circuit breaker scenario	83	START	1554985057314	1554985057314
REQUEST	83		circuit-breaker	1554985057315	1554985057324	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	83	END	1554985057314	1554985057325
REQUEST	80		circuit-breaker	1554985056975	1554985057389	OK	 
USER	Circuit breaker scenario	80	END	1554985056974	1554985057389
USER	Circuit breaker scenario	84	START	1554985057423	1554985057423
REQUEST	81		circuit-breaker	1554985057094	1554985057506	OK	 
USER	Circuit breaker scenario	81	END	1554985057094	1554985057506
USER	Circuit breaker scenario	85	START	1554985057534	1554985057534
REQUEST	82		circuit-breaker	1554985057205	1554985057610	OK	 
USER	Circuit breaker scenario	82	END	1554985057204	1554985057611
USER	Circuit breaker scenario	86	START	1554985057642	1554985057642
USER	Circuit breaker scenario	87	START	1554985057753	1554985057753
REQUEST	87		circuit-breaker	1554985057753	1554985057764	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	87	END	1554985057753	1554985057765
REQUEST	84		circuit-breaker	1554985057424	1554985057843	OK	 
USER	Circuit breaker scenario	84	END	1554985057423	1554985057844
USER	Circuit breaker scenario	88	START	1554985057854	1554985057854
REQUEST	85		circuit-breaker	1554985057535	1554985057929	OK	 
USER	Circuit breaker scenario	85	END	1554985057534	1554985057929
USER	Circuit breaker scenario	89	START	1554985057954	1554985057954
REQUEST	86		circuit-breaker	1554985057643	1554985058050	OK	 
USER	Circuit breaker scenario	86	END	1554985057642	1554985058051
USER	Circuit breaker scenario	90	START	1554985058054	1554985058054
USER	Circuit breaker scenario	91	START	1554985058154	1554985058154
REQUEST	91		circuit-breaker	1554985058155	1554985058168	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	91	END	1554985058154	1554985058169
USER	Circuit breaker scenario	92	START	1554985058254	1554985058254
REQUEST	88		circuit-breaker	1554985057854	1554985058268	OK	 
USER	Circuit breaker scenario	88	END	1554985057854	1554985058268
USER	Circuit breaker scenario	93	START	1554985058352	1554985058352
REQUEST	89		circuit-breaker	1554985057955	1554985058357	OK	 
USER	Circuit breaker scenario	89	END	1554985057954	1554985058357
