RUN	simulations.CircuitBreakerSimulation	circuitbreakersimulation	1554985040255	 	3.0.3
USER	Circuit breaker scenario	470	END	1554985082803	1554985082809
USER	Circuit breaker scenario	471	START	1554985082853	1554985082853
REQUEST	471		circuit-breaker	1554985082853	1554985082858	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	471	END	1554985082853	1554985082860
USER	Circuit breaker scenario	472	START	1554985082892	1554985082892
REQUEST	472		circuit-breaker	1554985082893	1554985082898	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	472	END	1554985082892	1554985082899
USER	Circuit breaker scenario	473	START	1554985082944	1554985082944
REQUEST	473		circuit-breaker	1554985082945	1554985082949	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	473	END	1554985082944	1554985082950
USER	Circuit breaker scenario	474	START	1554985082992	1554985082992
REQUEST	474		circuit-breaker	1554985082993	1554985082998	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	474	END	1554985082992	1554985082998
USER	Circuit breaker scenario	475	START	1554985083043	1554985083043
REQUEST	475		circuit-breaker	1554985083043	1554985083049	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	475	END	1554985083043	1554985083050
USER	Circuit breaker scenario	476	START	1554985083083	1554985083083
REQUEST	476		circuit-breaker	1554985083083	1554985083090	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	476	END	1554985083083	1554985083090
USER	Circuit breaker scenario	477	START	1554985083132	1554985083132
REQUEST	477		circuit-breaker	1554985083132	1554985083137	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	477	END	1554985083132	1554985083138
USER	Circuit breaker scenario	478	START	1554985083182	1554985083182
REQUEST	478		circuit-breaker	1554985083183	1554985083191	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	478	END	1554985083182	1554985083192
USER	Circuit breaker scenario	479	START	1554985083234	1554985083234
REQUEST	479		circuit-breaker	1554985083234	1554985083240	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	479	END	1554985083234	1554985083240
USER	Circuit breaker scenario	480	START	1554985083272	1554985083272
REQUEST	480		circuit-breaker	1554985083273	1554985083278	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	480	END	1554985083272	1554985083279
USER	Circuit breaker scenario	481	START	1554985083325	1554985083325
REQUEST	481		circuit-breaker	1554985083326	1554985083332	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	481	END	1554985083325	1554985083334
USER	Circuit breaker scenario	482	START	1554985083373	1554985083373
REQUEST	482		circuit-breaker	1554985083373	1554985083378	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	482	END	1554985083373	1554985083379
USER	Circuit breaker scenario	483	START	1554985083423	1554985083423
REQUEST	483		circuit-breaker	1554985083423	1554985083429	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	483	END	1554985083423	1554985083429
USER	Circuit breaker scenario	484	START	1554985083473	1554985083473
REQUEST	484		circuit-breaker	1554985083473	1554985083479	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	484	END	1554985083473	1554985083479
USER	Circuit breaker scenario	485	START	1554985083512	1554985083512
REQUEST	485		circuit-breaker	1554985083512	1554985083517	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	485	END	1554985083512	1554985083517
USER	Circuit breaker scenario	486	START	1554985083564	1554985083564
REQUEST	486		circuit-breaker	1554985083565	1554985083572	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	486	END	1554985083564	1554985083572
USER	Circuit breaker scenario	487	START	1554985083612	1554985083612
REQUEST	487		circuit-breaker	1554985083613	1554985083621	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	487	END	1554985083612	1554985083622
USER	Circuit breaker scenario	488	START	1554985083664	1554985083664
REQUEST	488		circuit-breaker	1554985083665	1554985083670	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	488	END	1554985083664	1554985083671
USER	Circuit breaker scenario	489	START	1554985083703	1554985083703
REQUEST	489		circuit-breaker	1554985083703	1554985083708	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	489	END	1554985083703	1554985083709
USER	Circuit breaker scenario	490	START	1554985083752	1554985083752
REQUEST	490		circuit-breaker	1554985083752	1554985083757	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	490	END	1554985083752	1554985083757
USER	Circuit breaker scenario	491	START	1554985083802	1554985083802
REQUEST	491		circuit-breaker	1554985083803	1554985083808	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	491	END	1554985083802	1554985083808
USER	Circuit breaker scenario	492	START	1554985083842	1554985083842
REQUEST	492		circuit-breaker	1554985083842	1554985083847	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	492	END	1554985083842	1554985083848
USER	Circuit breaker scenario	493	START	1554985083894	1554985083894
REQUEST	493		circuit-breaker	1554985083894	1554985083900	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	493	END	1554985083894	1554985083901
USER	Circuit breaker scenario	494	START	1554985083934	1554985083934
REQUEST	494		circuit-breaker	1554985083935	1554985083940	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	494	END	1554985083934	1554985083940
USER	Circuit breaker scenario	495	START	1554985083982	1554985083982
REQUEST	495		circuit-breaker	1554985083983	1554985083988	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	495	END	1554985083982	1554985083988
USER	Circuit breaker scenario	496	START	1554985084024	1554985084024
REQUEST	496		circuit-breaker	1554985084024	1554985084029	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	496	END	1554985084024	1554985084030
USER	Circuit breaker scenario	497	START	1554985084073	1554985084073
REQUEST	497		circuit-breaker	1554985084073	1554985084078	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	497	END	1554985084073	1554985084079
USER	Circuit breaker scenario	498	START	1554985084124	1554985084124
REQUEST	498		circuit-breaker	1554985084125	1554985084134	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	498	END	1554985084124	1554985084135
USER	Circuit breaker scenario	499	START	1554985084162	1554985084162
REQUEST	499		circuit-breaker	1554985084163	1554985084168	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	499	END	1554985084162	1554985084169
USER	Circuit breaker scenario	500	START	1554985084214	1554985084214
REQUEST	500		circuit-breaker	1554985084215	1554985084220	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	500	END	1554985084214	1554985084221
USER	Circuit breaker scenario	501	START	1554985084253	1554985084253
REQUEST	501		circuit-breaker	1554985084253	1554985084258	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	501	END	1554985084253	1554985084258
USER	Circuit breaker scenario	502	START	1554985084303	1554985084303
REQUEST	502		circuit-breaker	1554985084303	1554985084310	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	502	END	1554985084303	1554985084311
USER	Circuit breaker scenario	503	START	1554985084344	1554985084344
REQUEST	503		circuit-breaker	1554985084345	1554985084354	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	503	END	1554985084344	1554985084355
USER	Circuit breaker scenario	504	START	1554985084392	1554985084392
REQUEST	504		circuit-breaker	1554985084393	1554985084398	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	504	END	1554985084392	1554985084398
USER	Circuit breaker scenario	505	START	1554985084432	1554985084432
REQUEST	505		circuit-breaker	1554985084433	1554985084439	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	505	END	1554985084432	1554985084440
USER	Circuit breaker scenario	506	START	1554985084483	1554985084483
REQUEST	506		circuit-breaker	1554985084484	1554985084494	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	506	END	1554985084483	1554985084495
USER	Circuit breaker scenario	507	START	1554985084524	1554985084524
REQUEST	507		circuit-breaker	1554985084524	1554985084529	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	507	END	1554985084524	1554985084530
USER	Circuit breaker scenario	508	START	1554985084572	1554985084572
USER	Circuit breaker scenario	509	START	1554985084622	1554985084622
USER	Circuit breaker scenario	510	START	1554985084664	1554985084664
USER	Circuit breaker scenario	511	START	1554985084713	1554985084713
USER	Circuit breaker scenario	512	START	1554985084754	1554985084754
USER	Circuit breaker scenario	513	START	1554985084802	1554985084802
REQUEST	508		circuit-breaker	1554985084573	1554985084806	OK	 
USER	Circuit breaker scenario	508	END	1554985084572	1554985084806
USER	Circuit breaker scenario	514	START	1554985084844	1554985084844
USER	Circuit breaker scenario	515	START	1554985084882	1554985084882
USER	Circuit breaker scenario	516	START	1554985084934	1554985084934
REQUEST	509		circuit-breaker	1554985084623	1554985084940	OK	 
USER	Circuit breaker scenario	509	END	1554985084622	1554985084940
USER	Circuit breaker scenario	517	START	1554985084973	1554985084973
USER	Circuit breaker scenario	518	START	1554985085011	1554985085011
USER	Circuit breaker scenario	519	START	1554985085062	1554985085062
USER	Circuit breaker scenario	520	START	1554985085103	1554985085103
REQUEST	511		circuit-breaker	1554985084713	1554985085137	OK	 
USER	Circuit breaker scenario	511	END	1554985084713	1554985085137
USER	Circuit breaker scenario	521	START	1554985085142	1554985085142
USER	Circuit breaker scenario	522	START	1554985085193	1554985085193
REQUEST	510		circuit-breaker	1554985084665	1554985085228	OK	 
USER	Circuit breaker scenario	510	END	1554985084664	1554985085228
USER	Circuit breaker scenario	523	START	1554985085234	1554985085234
USER	Circuit breaker scenario	524	START	1554985085272	1554985085272
USER	Circuit breaker scenario	525	START	1554985085323	1554985085323
USER	Circuit breaker scenario	526	START	1554985085364	1554985085364
USER	Circuit breaker scenario	527	START	1554985085414	1554985085414
USER	Circuit breaker scenario	528	START	1554985085451	1554985085451
REQUEST	512		circuit-breaker	1554985084755	1554985085461	OK	 
USER	Circuit breaker scenario	512	END	1554985084754	1554985085462
USER	Circuit breaker scenario	529	START	1554985085493	1554985085493
USER	Circuit breaker scenario	530	START	1554985085543	1554985085543
REQUEST	513		circuit-breaker	1554985084803	1554985085550	OK	 
USER	Circuit breaker scenario	513	END	1554985084802	1554985085550
USER	Circuit breaker scenario	531	START	1554985085582	1554985085582
USER	Circuit breaker scenario	532	START	1554985085625	1554985085625
REQUEST	515		circuit-breaker	1554985084883	1554985085639	OK	 
USER	Circuit breaker scenario	515	END	1554985084882	1554985085639
USER	Circuit breaker scenario	533	START	1554985085673	1554985085673
USER	Circuit breaker scenario	534	START	1554985085712	1554985085712
USER	Circuit breaker scenario	535	START	1554985085752	1554985085752
USER	Circuit breaker scenario	536	START	1554985085792	1554985085792
USER	Circuit breaker scenario	537	START	1554985085843	1554985085843
REQUEST	516		circuit-breaker	1554985084935	1554985085874	OK	 
USER	Circuit breaker scenario	516	END	1554985084934	1554985085874
USER	Circuit breaker scenario	538	START	1554985085882	1554985085882
USER	Circuit breaker scenario	539	START	1554985085922	1554985085922
USER	Circuit breaker scenario	540	START	1554985085973	1554985085973
REQUEST	514		circuit-breaker	1554985084844	1554985085985	OK	 
USER	Circuit breaker scenario	514	END	1554985084844	1554985085986
USER	Circuit breaker scenario	541	START	1554985086012	1554985086012
REQUEST	519		circuit-breaker	1554985085063	1554985086050	OK	 
USER	Circuit breaker scenario	519	END	1554985085062	1554985086050
USER	Circuit breaker scenario	542	START	1554985086052	1554985086052
USER	Circuit breaker scenario	543	START	1554985086102	1554985086102
USER	Circuit breaker scenario	544	START	1554985086143	1554985086143
USER	Circuit breaker scenario	545	START	1554985086183	1554985086183
USER	Circuit breaker scenario	546	START	1554985086231	1554985086231
USER	Circuit breaker scenario	547	START	1554985086274	1554985086274
REQUEST	520		circuit-breaker	1554985085103	1554985086278	OK	 
USER	Circuit breaker scenario	520	END	1554985085103	1554985086278
USER	Circuit breaker scenario	548	START	1554985086323	1554985086323
USER	Circuit breaker scenario	549	START	1554985086362	1554985086362
USER	Circuit breaker scenario	550	START	1554985086403	1554985086403
REQUEST	517		circuit-breaker	1554985084973	1554985086409	OK	 
USER	Circuit breaker scenario	517	END	1554985084973	1554985086410
USER	Circuit breaker scenario	551	START	1554985086452	1554985086452
REQUEST	523		circuit-breaker	1554985085234	1554985086470	OK	 
USER	Circuit breaker scenario	523	END	1554985085234	1554985086470
USER	Circuit breaker scenario	552	START	1554985086492	1554985086492
USER	Circuit breaker scenario	553	START	1554985086534	1554985086534
USER	Circuit breaker scenario	554	START	1554985086583	1554985086583
USER	Circuit breaker scenario	555	START	1554985086623	1554985086623
USER	Circuit breaker scenario	556	START	1554985086664	1554985086664
USER	Circuit breaker scenario	557	START	1554985086713	1554985086713
REQUEST	524		circuit-breaker	1554985085273	1554985086716	OK	 
USER	Circuit breaker scenario	524	END	1554985085272	1554985086717
USER	Circuit breaker scenario	558	START	1554985086752	1554985086752
USER	Circuit breaker scenario	559	START	1554985086794	1554985086794
REQUEST	518		circuit-breaker	1554985085012	1554985086828	OK	 
USER	Circuit breaker scenario	518	END	1554985085011	1554985086828
USER	Circuit breaker scenario	560	START	1554985086842	1554985086842
USER	Circuit breaker scenario	561	START	1554985086883	1554985086883
REQUEST	527		circuit-breaker	1554985085415	1554985086894	OK	 
USER	Circuit breaker scenario	527	END	1554985085414	1554985086894
USER	Circuit breaker scenario	562	START	1554985086922	1554985086922
USER	Circuit breaker scenario	563	START	1554985086973	1554985086973
USER	Circuit breaker scenario	564	START	1554985087013	1554985087013
USER	Circuit breaker scenario	565	START	1554985087053	1554985087053
USER	Circuit breaker scenario	566	START	1554985087103	1554985087103
REQUEST	528		circuit-breaker	1554985085452	1554985087113	OK	 
USER	Circuit breaker scenario	528	END	1554985085451	1554985087114
USER	Circuit breaker scenario	567	START	1554985087142	1554985087142
USER	Circuit breaker scenario	568	START	1554985087184	1554985087184
REQUEST	521		circuit-breaker	1554985085142	1554985087227	OK	 
USER	Circuit breaker scenario	521	END	1554985085142	1554985087228
USER	Circuit breaker scenario	569	START	1554985087232	1554985087232
USER	Circuit breaker scenario	570	START	1554985087272	1554985087272
REQUEST	531		circuit-breaker	1554985085582	1554985087283	OK	 
USER	Circuit breaker scenario	531	END	1554985085582	1554985087283
USER	Circuit breaker scenario	571	START	1554985087324	1554985087324
USER	Circuit breaker scenario	572	START	1554985087363	1554985087363
USER	Circuit breaker scenario	573	START	1554985087403	1554985087403
USER	Circuit breaker scenario	574	START	1554985087453	1554985087453
USER	Circuit breaker scenario	575	START	1554985087492	1554985087492
REQUEST	532		circuit-breaker	1554985085625	1554985087517	OK	 
USER	Circuit breaker scenario	532	END	1554985085625	1554985087517
USER	Circuit breaker scenario	576	START	1554985087533	1554985087533
USER	Circuit breaker scenario	577	START	1554985087583	1554985087583
USER	Circuit breaker scenario	578	START	1554985087623	1554985087623
REQUEST	522		circuit-breaker	1554985085194	1554985087626	OK	 
USER	Circuit breaker scenario	522	END	1554985085193	1554985087627
USER	Circuit breaker scenario	579	START	1554985087663	1554985087663
REQUEST	535		circuit-breaker	1554985085753	1554985087680	OK	 
USER	Circuit breaker scenario	535	END	1554985085752	1554985087680
USER	Circuit breaker scenario	580	START	1554985087712	1554985087712
USER	Circuit breaker scenario	581	START	1554985087753	1554985087753
USER	Circuit breaker scenario	582	START	1554985087792	1554985087792
USER	Circuit breaker scenario	583	START	1554985087842	1554985087842
USER	Circuit breaker scenario	584	START	1554985087882	1554985087882
USER	Circuit breaker scenario	585	START	1554985087923	1554985087923
REQUEST	536		circuit-breaker	1554985085793	1554985087934	OK	 
USER	Circuit breaker scenario	536	END	1554985085792	1554985087935
USER	Circuit breaker scenario	586	START	1554985087963	1554985087963
USER	Circuit breaker scenario	587	START	1554985088004	1554985088004
REQUEST	525		circuit-breaker	1554985085323	1554985088017	OK	 
USER	Circuit breaker scenario	525	END	1554985085323	1554985088018
USER	Circuit breaker scenario	588	START	1554985088042	1554985088042
REQUEST	539		circuit-breaker	1554985085923	1554985088071	OK	 
USER	Circuit breaker scenario	539	END	1554985085922	1554985088071
USER	Circuit breaker scenario	589	START	1554985088092	1554985088092
USER	Circuit breaker scenario	590	START	1554985088134	1554985088134
USER	Circuit breaker scenario	591	START	1554985088173	1554985088173
USER	Circuit breaker scenario	592	START	1554985088213	1554985088213
USER	Circuit breaker scenario	593	START	1554985088254	1554985088254
USER	Circuit breaker scenario	594	START	1554985088292	1554985088292
USER	Circuit breaker scenario	595	START	1554985088342	1554985088342
REQUEST	540		circuit-breaker	1554985085974	1554985088349	OK	 
USER	Circuit breaker scenario	540	END	1554985085973	1554985088349
USER	Circuit breaker scenario	596	START	1554985088383	1554985088383
REQUEST	526		circuit-breaker	1554985085364	1554985088419	OK	 
USER	Circuit breaker scenario	526	END	1554985085364	1554985088419
USER	Circuit breaker scenario	597	START	1554985088423	1554985088423
USER	Circuit breaker scenario	598	START	1554985088463	1554985088463
REQUEST	543		circuit-breaker	1554985086102	1554985088470	OK	 
USER	Circuit breaker scenario	543	END	1554985086102	1554985088470
USER	Circuit breaker scenario	599	START	1554985088503	1554985088503
USER	Circuit breaker scenario	600	START	1554985088542	1554985088542
USER	Circuit breaker scenario	601	START	1554985088592	1554985088592
USER	Circuit breaker scenario	602	START	1554985088633	1554985088633
USER	Circuit breaker scenario	603	START	1554985088672	1554985088672
USER	Circuit breaker scenario	604	START	1554985088713	1554985088713
USER	Circuit breaker scenario	605	START	1554985088754	1554985088754
REQUEST	544		circuit-breaker	1554985086143	1554985088757	OK	 
USER	Circuit breaker scenario	544	END	1554985086143	1554985088757
USER	Circuit breaker scenario	606	START	1554985088795	1554985088795
REQUEST	529		circuit-breaker	1554985085493	1554985088825	OK	 
USER	Circuit breaker scenario	529	END	1554985085493	1554985088825
USER	Circuit breaker scenario	607	START	1554985088834	1554985088834
REQUEST	547		circuit-breaker	1554985086275	1554985088863	OK	 
USER	Circuit breaker scenario	547	END	1554985086274	1554985088863
USER	Circuit breaker scenario	608	START	1554985088873	1554985088873
USER	Circuit breaker scenario	609	START	1554985088912	1554985088912
USER	Circuit breaker scenario	610	START	1554985088953	1554985088953
USER	Circuit breaker scenario	611	START	1554985088994	1554985088994
USER	Circuit breaker scenario	612	START	1554985089034	1554985089034
USER	Circuit breaker scenario	613	START	1554985089073	1554985089073
USER	Circuit breaker scenario	614	START	1554985089112	1554985089112
USER	Circuit breaker scenario	615	START	1554985089154	1554985089154
REQUEST	548		circuit-breaker	1554985086324	1554985089175	OK	 
USER	Circuit breaker scenario	548	END	1554985086323	1554985089176
USER	Circuit breaker scenario	616	START	1554985089194	1554985089194
REQUEST	530		circuit-breaker	1554985085544	1554985089230	OK	 
USER	Circuit breaker scenario	530	END	1554985085543	1554985089231
USER	Circuit breaker scenario	617	START	1554985089233	1554985089233
USER	Circuit breaker scenario	618	START	1554985089273	1554985089273
REQUEST	551		circuit-breaker	1554985086453	1554985089280	OK	 
USER	Circuit breaker scenario	551	END	1554985086452	1554985089281
USER	Circuit breaker scenario	619	START	1554985089312	1554985089312
USER	Circuit breaker scenario	620	START	1554985089355	1554985089355
USER	Circuit breaker scenario	621	START	1554985089393	1554985089393
USER	Circuit breaker scenario	622	START	1554985089434	1554985089434
USER	Circuit breaker scenario	623	START	1554985089473	1554985089473
USER	Circuit breaker scenario	624	START	1554985089514	1554985089514
USER	Circuit breaker scenario	625	START	1554985089553	1554985089553
REQUEST	552		circuit-breaker	1554985086492	1554985089583	OK	 
USER	Circuit breaker scenario	552	END	1554985086492	1554985089583
USER	Circuit breaker scenario	626	START	1554985089594	1554985089594
REQUEST	533		circuit-breaker	1554985085674	1554985089625	OK	 
USER	Circuit breaker scenario	533	END	1554985085673	1554985089626
USER	Circuit breaker scenario	627	START	1554985089634	1554985089634
USER	Circuit breaker scenario	628	START	1554985089673	1554985089673
REQUEST	555		circuit-breaker	1554985086623	1554985089681	OK	 
USER	Circuit breaker scenario	555	END	1554985086623	1554985089681
USER	Circuit breaker scenario	629	START	1554985089713	1554985089713
USER	Circuit breaker scenario	630	START	1554985089752	1554985089752
USER	Circuit breaker scenario	631	START	1554985089792	1554985089792
USER	Circuit breaker scenario	632	START	1554985089833	1554985089833
USER	Circuit breaker scenario	633	START	1554985089873	1554985089873
USER	Circuit breaker scenario	634	START	1554985089913	1554985089913
USER	Circuit breaker scenario	635	START	1554985089953	1554985089953
USER	Circuit breaker scenario	636	START	1554985089992	1554985089992
REQUEST	556		circuit-breaker	1554985086664	1554985089998	OK	 
USER	Circuit breaker scenario	556	END	1554985086664	1554985089999
REQUEST	537		circuit-breaker	1554985085843	1554985090032	OK	 
USER	Circuit breaker scenario	537	END	1554985085843	1554985090032
USER	Circuit breaker scenario	637	START	1554985090034	1554985090034
USER	Circuit breaker scenario	638	START	1554985090073	1554985090073
REQUEST	559		circuit-breaker	1554985086795	1554985090081	OK	 
USER	Circuit breaker scenario	559	END	1554985086794	1554985090081
USER	Circuit breaker scenario	639	START	1554985090113	1554985090113
USER	Circuit breaker scenario	640	START	1554985090155	1554985090155
USER	Circuit breaker scenario	641	START	1554985090194	1554985090194
USER	Circuit breaker scenario	642	START	1554985090235	1554985090235
REQUEST	534		circuit-breaker	1554985085713	1554985090241	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	534	END	1554985085712	1554985090242
USER	Circuit breaker scenario	643	START	1554985090273	1554985090273
USER	Circuit breaker scenario	644	START	1554985090313	1554985090313
USER	Circuit breaker scenario	645	START	1554985090352	1554985090352
USER	Circuit breaker scenario	646	START	1554985090394	1554985090394
REQUEST	560		circuit-breaker	1554985086842	1554985090425	OK	 
USER	Circuit breaker scenario	560	END	1554985086842	1554985090425
USER	Circuit breaker scenario	647	START	1554985090435	1554985090435
USER	Circuit breaker scenario	648	START	1554985090473	1554985090473
REQUEST	563		circuit-breaker	1554985086973	1554985090489	OK	 
USER	Circuit breaker scenario	563	END	1554985086973	1554985090489
REQUEST	567		circuit-breaker	1554985087142	1554985090495	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	567	END	1554985087142	1554985090495
REQUEST	571		circuit-breaker	1554985087324	1554985090500	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	571	END	1554985087324	1554985090501
REQUEST	575		circuit-breaker	1554985087492	1554985090506	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	575	END	1554985087492	1554985090507
REQUEST	579		circuit-breaker	1554985087663	1554985090512	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	649	START	1554985090513	1554985090513
USER	Circuit breaker scenario	579	END	1554985087663	1554985090513
REQUEST	583		circuit-breaker	1554985087843	1554985090516	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	583	END	1554985087842	1554985090517
REQUEST	587		circuit-breaker	1554985088005	1554985090524	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	587	END	1554985088004	1554985090525
REQUEST	591		circuit-breaker	1554985088173	1554985090530	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	591	END	1554985088173	1554985090531
REQUEST	595		circuit-breaker	1554985088342	1554985090534	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	595	END	1554985088342	1554985090535
REQUEST	599		circuit-breaker	1554985088504	1554985090538	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	599	END	1554985088503	1554985090539
REQUEST	603		circuit-breaker	1554985088672	1554985090543	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	603	END	1554985088672	1554985090543
REQUEST	607		circuit-breaker	1554985088834	1554985090546	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	607	END	1554985088834	1554985090547
REQUEST	611		circuit-breaker	1554985088994	1554985090552	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	611	END	1554985088994	1554985090553
USER	Circuit breaker scenario	650	START	1554985090553	1554985090553
REQUEST	615		circuit-breaker	1554985089154	1554985090559	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	615	END	1554985089154	1554985090560
REQUEST	619		circuit-breaker	1554985089313	1554985090562	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	619	END	1554985089312	1554985090563
REQUEST	623		circuit-breaker	1554985089474	1554985090565	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	623	END	1554985089473	1554985090566
REQUEST	627		circuit-breaker	1554985089634	1554985090569	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	627	END	1554985089634	1554985090569
REQUEST	631		circuit-breaker	1554985089793	1554985090573	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	631	END	1554985089792	1554985090574
REQUEST	635		circuit-breaker	1554985089953	1554985090578	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	635	END	1554985089953	1554985090578
REQUEST	639		circuit-breaker	1554985090113	1554985090584	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	639	END	1554985090113	1554985090586
REQUEST	643		circuit-breaker	1554985090275	1554985090592	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	643	END	1554985090273	1554985090593
USER	Circuit breaker scenario	651	START	1554985090593	1554985090593
REQUEST	647		circuit-breaker	1554985090435	1554985090596	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	647	END	1554985090435	1554985090596
REQUEST	651		circuit-breaker	1554985090593	1554985090599	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	651	END	1554985090593	1554985090599
USER	Circuit breaker scenario	652	START	1554985090634	1554985090634
USER	Circuit breaker scenario	653	START	1554985090673	1554985090673
USER	Circuit breaker scenario	654	START	1554985090713	1554985090713
USER	Circuit breaker scenario	655	START	1554985090752	1554985090752
REQUEST	655		circuit-breaker	1554985090752	1554985090756	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Circuit breaker scenario	655	END	1554985090752	1554985090757
USER	Circuit breaker scenario	656	START	1554985090795	1554985090795
